Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bol_dem contribution,bol_flowaccum contribution,bol_flowdirec contribution,bol_landcover contribution,bol_treecover contribution,wc2.0_bio_30s_02 contribution,wc2.0_bio_30s_04 contribution,wc2.0_bio_30s_12 contribution,bol_dem permutation importance,bol_flowaccum permutation importance,bol_flowdirec permutation importance,bol_landcover permutation importance,bol_treecover permutation importance,wc2.0_bio_30s_02 permutation importance,wc2.0_bio_30s_04 permutation importance,wc2.0_bio_30s_12 permutation importance,Training gain without bol_dem,Training gain without bol_flowaccum,Training gain without bol_flowdirec,Training gain without bol_landcover,Training gain without bol_treecover,Training gain without wc2.0_bio_30s_02,Training gain without wc2.0_bio_30s_04,Training gain without wc2.0_bio_30s_12,Training gain with only bol_dem,Training gain with only bol_flowaccum,Training gain with only bol_flowdirec,Training gain with only bol_landcover,Training gain with only bol_treecover,Training gain with only wc2.0_bio_30s_02,Training gain with only wc2.0_bio_30s_04,Training gain with only wc2.0_bio_30s_12,Test gain without bol_dem,Test gain without bol_flowaccum,Test gain without bol_flowdirec,Test gain without bol_landcover,Test gain without bol_treecover,Test gain without wc2.0_bio_30s_02,Test gain without wc2.0_bio_30s_04,Test gain without wc2.0_bio_30s_12,Test gain with only bol_dem,Test gain with only bol_flowaccum,Test gain with only bol_flowdirec,Test gain with only bol_landcover,Test gain with only bol_treecover,Test gain with only wc2.0_bio_30s_02,Test gain with only wc2.0_bio_30s_04,Test gain with only wc2.0_bio_30s_12,AUC without bol_dem,AUC without bol_flowaccum,AUC without bol_flowdirec,AUC without bol_landcover,AUC without bol_treecover,AUC without wc2.0_bio_30s_02,AUC without wc2.0_bio_30s_04,AUC without wc2.0_bio_30s_12,AUC with only bol_dem,AUC with only bol_flowaccum,AUC with only bol_flowdirec,AUC with only bol_landcover,AUC with only bol_treecover,AUC with only wc2.0_bio_30s_02,AUC with only wc2.0_bio_30s_04,AUC with only wc2.0_bio_30s_12,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Caiman_yacare_0,118,0.3911,0.7037,500,0.8051,39,0.1518,0.6353,0.0481,10111,20.5010,27.4724,12.7040,16.1119,3.2739,9.3245,4.7741,5.8382,20.1485,9.4867,11.6706,18.4794,4.5573,13.6500,13.7909,8.2166,0.3326,0.2988,0.3272,0.3321,0.3751,0.3524,0.3618,0.3599,0.0852,0.0931,0.0397,0.0838,0.0121,0.0480,0.0184,0.0345,0.2492,0.2508,0.1849,0.1129,0.1279,0.0392,0.1895,0.0125,-0.0265,-0.0914,-0.0334,0.0925,0.0688,0.1081,-0.0180,0.1387,0.6790,0.6509,0.6471,0.6015,0.6282,0.5938,0.6502,0.6112,0.4956,0.5187,0.4933,0.6366,0.6334,0.6361,0.5082,0.6070,8.8329,0.3427,1.0000,0.1159,0.9222,0.0000,0.0000,3.481E-2,5.0000,0.2066,0.7844,0.0339,0.1538,1.742E-1,10.0000,0.2580,0.6727,0.0678,0.2308,9.951E-2,2.5086,0.1619,0.8591,0.0000,0.0513,5.38E-2,23.9575,0.3478,0.4563,0.0932,0.3077,1.545E-3,40.0046,0.4270,0.2839,0.2881,0.5641,1.767E-2,30.7801,0.3837,0.3759,0.1525,0.4103,2.919E-3,27.7354,0.3673,0.4102,0.1356,0.4103,1.134E-2,24.0197,0.3481,0.4555,0.1017,0.3077,1.494E-3,2.5086,0.1619,0.8591,0.0000,0.0513,5.38E-2,9.7276,0.2556,0.6781,0.0678,0.2308,1.115E-1
Caiman_yacare_1,118,0.3854,0.8061,500,0.8201,39,0.1541,0.6297,0.0488,10111,11.5190,35.1770,4.4809,13.1210,1.3558,11.9111,8.4972,13.9380,24.8485,10.1827,5.1322,10.9154,3.7740,22.0583,10.3611,12.7278,0.3360,0.2750,0.3661,0.3470,0.3718,0.3358,0.3574,0.3252,0.0535,0.1286,0.0086,0.0676,0.0004,0.0423,0.0291,0.0570,0.2027,0.0319,0.1205,0.1258,0.1808,0.0091,0.1875,0.1401,-0.0522,0.1476,0.0280,-0.0726,0.0052,0.0740,-0.0080,-0.0231,0.6568,0.6001,0.6198,0.6103,0.6489,0.5624,0.6397,0.6311,0.4796,0.6465,0.5295,0.4837,0.5538,0.6003,0.5189,0.4909,8.8399,0.3504,1.0000,0.1555,0.9521,0.0000,0.0000,8.072E-2,5.0000,0.2183,0.8358,0.0169,0.1282,2.721E-1,10.0000,0.2541,0.7252,0.0593,0.1795,9.111E-2,3.6836,0.2037,0.8693,0.0000,0.0513,7.05E-2,19.8338,0.3090,0.5535,0.0932,0.3333,7.749E-2,47.3176,0.4435,0.2373,0.2373,0.5641,1.773E-3,46.8576,0.4417,0.2411,0.2203,0.5641,2.231E-3,31.6087,0.3656,0.3957,0.1695,0.3846,2.512E-3,40.1532,0.4070,0.3032,0.1864,0.4615,6.971E-4,3.6836,0.2037,0.8693,0.0000,0.0513,7.05E-2,12.1819,0.2669,0.6828,0.0678,0.2051,6.634E-2
Caiman_yacare_2,118,0.4530,0.7199,500,0.7723,39,0.1982,0.7050,0.0391,10110,7.5450,48.5490,4.0357,9.6445,3.6782,14.8944,9.1667,2.4865,18.0685,16.8896,4.7338,9.6380,2.3290,37.5194,5.5700,5.2517,0.4336,0.3033,0.4266,0.4317,0.4317,0.3949,0.4293,0.4402,0.0462,0.2191,0.0049,0.0783,0.0251,0.0853,0.0800,0.0336,0.1548,0.0862,0.1849,0.1899,0.2082,0.2759,0.1760,0.1938,0.0638,0.1672,0.0083,-0.0143,0.0141,-0.0488,0.0057,0.0176,0.6824,0.6329,0.6974,0.7046,0.7045,0.7334,0.6946,0.7164,0.6125,0.6806,0.5566,0.5580,0.5612,0.5465,0.5374,0.5744,8.7727,0.3320,1.0000,0.1497,0.9573,0.0000,0.0000,9.352E-2,5.0000,0.2007,0.8393,0.0000,0.0000,3.138E-3,10.0000,0.2379,0.7259,0.0763,0.1026,8.166E-3,5.8386,0.2072,0.8183,0.0000,0.0000,1.626E-3,10.9934,0.2436,0.7058,0.0932,0.1026,4.321E-3,39.6498,0.3812,0.2976,0.2966,0.3846,7.118E-6,54.0449,0.4596,0.1698,0.3898,0.6410,8.282E-4,38.2037,0.3737,0.3129,0.2881,0.3077,1.604E-7,37.8833,0.3722,0.3162,0.2881,0.2821,3.422E-8,5.3303,0.2034,0.8310,0.0000,0.0000,2.426E-3,14.5676,0.2623,0.6385,0.1271,0.1795,8.986E-3
Caiman_yacare_3,118,0.4103,0.6402,500,0.7672,39,0.5099,0.7506,0.0402,10111,10.1613,33.1130,12.4203,15.2678,6.1255,17.1643,3.1062,2.6416,25.9781,6.3897,11.9996,22.8463,6.3632,8.7853,10.2882,7.3496,0.3575,0.3231,0.3545,0.3560,0.3679,0.3902,0.3938,0.3950,0.0528,0.1223,0.0295,0.0945,0.0068,0.0909,0.0269,0.0327,0.3858,0.5105,0.5056,0.3923,0.4853,0.5050,0.4700,0.4000,0.0931,0.0566,-0.0173,0.1386,0.0130,0.1106,0.0154,0.1258,0.6987,0.7448,0.7413,0.7186,0.7394,0.7411,0.7467,0.7368,0.6299,0.5740,0.4982,0.6078,0.5551,0.6128,0.5318,0.6282,8.8104,0.3411,1.0000,0.1451,0.9455,0.0085,0.0000,6.69E-2,5.0000,0.2129,0.8282,0.0254,0.0000,2.226E-3,10.0000,0.2505,0.7186,0.0763,0.0769,2.26E-3,0.1124,0.0905,0.9870,0.0000,0.0000,2.372E-1,13.0381,0.2696,0.6612,0.0932,0.1282,2.725E-3,38.5535,0.3867,0.3138,0.3136,0.3077,1.756E-7,32.2611,0.3595,0.3841,0.2119,0.2564,1.964E-6,39.0192,0.3890,0.3090,0.3220,0.3077,1.104E-7,65.0403,0.5355,0.0989,0.5508,0.5128,2.285E-16,0.1124,0.0905,0.9870,0.0000,0.0000,2.372E-1,12.9446,0.2689,0.6629,0.0932,0.1282,2.897E-3
Caiman_yacare_4,118,0.3684,0.6879,500,0.8020,39,0.2396,0.6893,0.0382,10111,6.7496,29.5105,9.0205,26.1468,5.0609,7.8485,8.6971,6.9660,5.7064,10.4785,8.8577,30.4329,5.7323,13.5687,8.8036,16.4198,0.3545,0.2902,0.3223,0.2950,0.3361,0.3324,0.3365,0.3421,0.0320,0.1027,0.0029,0.1110,0.0169,0.0542,0.0258,0.0242,0.2407,0.2007,0.2458,0.1194,0.2334,0.2688,0.2319,0.2570,0.0115,0.1461,0.0128,0.2106,0.0188,-0.0676,0.0220,0.0038,0.6906,0.6559,0.6873,0.6110,0.6851,0.6940,0.6966,0.7059,0.5376,0.6033,0.5340,0.6550,0.5811,0.4653,0.5564,0.5245,8.8559,0.3566,1.0000,0.1473,0.9395,0.0000,0.0000,5.647E-2,5.0000,0.2270,0.8231,0.0000,0.0513,1.988E-2,10.0000,0.2700,0.7187,0.0339,0.0769,2.267E-3,5.5897,0.2329,0.8093,0.0000,0.0513,1.334E-2,25.9490,0.3538,0.4774,0.0932,0.2308,1.318E-4,44.3505,0.4262,0.2763,0.2797,0.4615,1.258E-4,56.3493,0.4804,0.1755,0.3559,0.5897,5.781E-5,36.0997,0.3936,0.3590,0.2203,0.3590,1.207E-4,25.5934,0.3521,0.4819,0.0932,0.2051,4.573E-5,4.2843,0.2172,0.8405,0.0000,0.0256,1.12E-2,11.3667,0.2803,0.6938,0.0339,0.1026,2.898E-3
Caiman_yacare_5,118,0.5159,0.9029,500,0.8244,39,0.1922,0.6550,0.0426,10109,4.5731,16.2719,8.3852,45.0172,1.3087,9.4009,1.0964,13.9465,9.3200,7.1618,14.6295,33.0937,1.2225,14.0640,1.0535,19.4549,0.4864,0.4414,0.4363,0.3310,0.5075,0.4657,0.5122,0.4152,0.0410,0.0892,0.0164,0.2173,0.0331,0.0434,0.0158,0.0322,0.2153,0.0716,0.2650,0.1583,0.2263,0.0133,0.1963,0.1360,-0.0410,0.1687,0.0027,-0.0289,0.0070,0.1395,-0.0488,0.0593,0.6589,0.6154,0.6567,0.6312,0.6608,0.6223,0.6591,0.6457,0.5140,0.6725,0.5516,0.5398,0.5463,0.5748,0.4470,0.4952,8.7207,0.3107,1.0000,0.0979,0.8965,0.0000,0.0513,1.423E-1,5.0000,0.1845,0.7518,0.0339,0.1026,1.763E-2,10.0000,0.2389,0.6377,0.0424,0.1538,3.387E-3,2.6674,0.1461,0.8232,0.0000,0.0513,1.997E-2,20.5092,0.3110,0.4695,0.0847,0.3077,2.649E-3,40.1460,0.4185,0.2626,0.2542,0.5897,1.809E-2,38.0499,0.4091,0.2806,0.2203,0.5128,2.048E-3,29.8327,0.3674,0.3592,0.1525,0.3590,1.219E-4,26.8448,0.3506,0.3915,0.1102,0.3077,5.946E-5,2.6674,0.1461,0.8232,0.0000,0.0513,1.997E-2,11.6932,0.2515,0.6062,0.0593,0.1795,3.078E-3
Caiman_yacare_6,118,0.5819,0.9163,500,0.8361,39,0.3192,0.7241,0.0407,10109,3.1997,24.2240,2.8238,27.5173,10.4224,19.2529,7.5594,5.0006,5.5788,6.8298,3.5493,34.0421,11.4280,18.5266,9.6201,10.4254,0.5551,0.5025,0.5586,0.4404,0.5337,0.5254,0.5658,0.5527,0.0694,0.1439,0.0023,0.1942,0.0739,0.1412,0.0832,0.0452,0.3039,0.1897,0.2843,0.3225,0.3722,0.3199,0.3314,0.2505,0.1917,0.1716,0.0171,0.0062,-0.0197,0.0922,-0.0268,0.0325,0.7221,0.6946,0.7189,0.7147,0.7619,0.7259,0.7184,0.6965,0.6560,0.6588,0.5806,0.5732,0.5794,0.5854,0.5030,0.5832,8.6507,0.2947,1.0000,0.1089,0.9328,0.0085,0.0000,4.689E-2,5.0000,0.1682,0.7942,0.0339,0.0513,8.508E-3,10.0000,0.2082,0.6722,0.0593,0.1282,3.957E-3,0.1481,0.0655,0.9809,0.0000,0.0000,1.918E-1,22.8512,0.2875,0.4536,0.0932,0.2051,9.28E-6,39.9392,0.3752,0.2549,0.2542,0.4359,4.703E-6,56.0489,0.4673,0.1280,0.3051,0.5385,2.266E-10,32.3643,0.3313,0.3334,0.1441,0.3333,5.043E-6,23.6500,0.2911,0.4424,0.1017,0.2051,4.664E-6,2.5750,0.1371,0.8694,0.0085,0.0256,2.589E-2,15.5934,0.2485,0.5652,0.0678,0.1538,2.009E-4
Caiman_yacare_7,118,0.4402,0.7642,500,0.8074,39,0.3053,0.6189,0.0526,10111,3.3199,17.9343,4.2483,12.7428,11.9295,17.5186,21.1277,11.1787,6.0454,6.2915,2.7976,13.8297,18.5370,23.2814,18.2476,10.9698,0.4226,0.3630,0.4020,0.3915,0.3871,0.3782,0.4144,0.3975,0.0415,0.1036,0.0023,0.1194,0.0462,0.0905,0.0805,0.0827,0.2993,0.1995,0.2892,0.2131,0.3350,0.3616,0.3415,0.3058,0.0334,0.2908,-0.0217,0.1940,0.0637,0.0366,0.0511,0.0145,0.6249,0.5895,0.6177,0.5903,0.6228,0.6302,0.6236,0.6172,0.5433,0.6379,0.4182,0.6058,0.6017,0.5704,0.5395,0.5377,8.7831,0.3353,1.0000,0.1396,0.9467,0.0000,0.0256,2.209E-1,5.0000,0.1999,0.8266,0.0424,0.1282,2.281E-1,10.0000,0.2353,0.7110,0.0508,0.2308,2.112E-1,1.7685,0.1632,0.9190,0.0000,0.0256,1.026E-1,19.3629,0.2946,0.5425,0.0932,0.3846,1.804E-1,43.1194,0.4179,0.2661,0.2627,0.5128,8.939E-4,47.5063,0.4370,0.2281,0.2881,0.5385,2.555E-4,26.0670,0.3364,0.4486,0.1525,0.4359,7.352E-2,66.1514,0.5350,0.1004,0.4746,0.6154,1.746E-9,1.7685,0.1632,0.9190,0.0000,0.0256,1.026E-1,13.3339,0.2566,0.6451,0.0593,0.3333,3.894E-1
Caiman_yacare_8,118,0.5012,0.7933,500,0.8017,39,0.0250,0.6316,0.0466,10104,3.5641,43.4235,10.3787,24.5039,4.0245,5.8305,3.1751,5.0997,11.6154,21.4340,19.4937,30.1982,3.6263,7.9627,3.2609,2.4088,0.4747,0.3130,0.4309,0.3975,0.4699,0.4871,0.4950,0.4735,0.0253,0.2036,0.0282,0.1391,0.0192,0.0371,0.0048,0.0212,0.0015,0.1114,-0.0368,0.1357,0.1041,0.0058,0.0642,-0.0102,0.0124,-0.0974,0.0070,-0.0319,0.0347,0.0620,0.0040,0.0253,0.6101,0.6434,0.5950,0.6558,0.6592,0.6262,0.6438,0.6139,0.5467,0.5385,0.5279,0.5397,0.5885,0.5727,0.5125,0.5993,8.7294,0.3109,1.0000,0.1076,0.9175,0.0000,0.0256,9.83E-2,5.0000,0.1824,0.7789,0.0424,0.1026,3.723E-2,10.0000,0.2246,0.6596,0.0847,0.1538,6.981E-3,1.2192,0.1164,0.9069,0.0000,0.0256,7.349E-2,13.5239,0.2496,0.5903,0.0932,0.2821,5.246E-2,38.3462,0.3944,0.2627,0.2627,0.5641,6.982E-3,40.5827,0.4063,0.2422,0.2627,0.5641,2.372E-3,24.9755,0.3162,0.4128,0.1780,0.4103,1.241E-2,59.7959,0.5391,0.1082,0.4492,0.6667,2.99E-6,1.2192,0.1164,0.9069,0.0000,0.0256,7.349E-2,12.3865,0.2412,0.6117,0.0847,0.2308,2.179E-2
